00,no,0
01,Cromática,1
02,Cromática,2
03,Cromática,3
04,Cromática,4
05,Cromática,5
06,Cromática,6
07,Cromática,7
08,Cromática,8
09,Cromática,9
10,Cromática,10
11,Cromática,11
12,Cromática,12
13,Cromática,13
14,Cromática,14
15,Cromática,15
16,Cromática,16
17,Cromática,17
18,Cromática,18
19,Cromática,19
20,Cromática,20
21,Cromática,21
22,Cromática,22
23,Cromática,23
24,Cromática,24
01,Occidental,1
02,Occidental,0
03,Occidental,3
04,Occidental,0
05,Occidental,5
06,Occidental,6
07,Occidental,0
08,Occidental,8
09,Occidental,0
10,Occidental,10
11,Occidental,0
12,Occidental,12
13,Occidental,13
14,Occidental,0
15,Occidental,15
16,Occidental,0
17,Occidental,17
18,Occidental,18
19,Occidental,0
20,Occidental,20
21,Occidental,0
22,Occidental,22
23,Occidental,0
24,Occidental,24
01,Árabe,1
02,Árabe,2
03,Árabe,0
04,Árabe,0
05,Árabe,5
06,Árabe,6
07,Árabe,0
08,Árabe,8
09,Árabe,9
10,Árabe,0
11,Árabe,0
12,Árabe,12
13,Árabe,13
14,Árabe,14
15,Árabe,0
16,Árabe,0
17,Árabe,17
18,Árabe,18
19,Árabe,0
20,Árabe,20
21,Árabe,21
22,Árabe,0
23,Árabe,0
24,Árabe,24
01,Blues,1
02,Blues,0
03,Blues,0
04,Blues,0
05,Blues,5
06,Blues,0
07,Blues,7
08,Blues,8
09,Blues,9
10,Blues,0
11,Blues,11
12,Blues,0
13,Blues,13
14,Blues,0
15,Blues,0
16,Blues,0
17,Blues,17
18,Blues,0
19,Blues,19
20,Blues,20
21,Blues,21
22,Blues,0
23,Blues,23
24,Blues,0
01,Aumentada,1
02,Aumentada,0
03,Aumentada,3
04,Aumentada,0
05,Aumentada,5
06,Aumentada,0
07,Aumentada,7
08,Aumentada,8
09,Aumentada,9
10,Aumentada,0
11,Aumentada,11
12,Aumentada,0
13,Aumentada,13
14,Aumentada,0
15,Aumentada,15
16,Aumentada,0
17,Aumentada,17
18,Aumentada,0
19,Aumentada,19
20,Aumentada,20
21,Aumentada,21
22,Aumentada,0
23,Aumentada,23
24,Aumentada,0
01,menor Armónica,1
02,menor Armónica,0
03,menor Armónica,3
04,menor Armónica,4
05,menor Armónica,0
06,menor Armónica,6
07,menor Armónica,0
08,menor Armónica,8
09,menor Armónica,9
10,menor Armónica,0
11,menor Armónica,0
12,menor Armónica,12
13,menor Armónica,13
14,menor Armónica,0
15,menor Armónica,15
16,menor Armónica,16
17,menor Armónica,0
18,menor Armónica,18
19,menor Armónica,0
20,menor Armónica,20
21,menor Armónica,21
22,menor Armónica,0
23,menor Armónica,0
24,menor Armónica,24
01,Pentatónica Mayor,1
02,Pentatónica Mayor,0
03,Pentatónica Mayor,3
04,Pentatónica Mayor,0
05,Pentatónica Mayor,5
06,Pentatónica Mayor,0
07,Pentatónica Mayor,0
08,Pentatónica Mayor,8
