0,no
1,Mayor
2,menor
3,Aumentado
4,Aumentado 7
5,disminuido
6,Suspendido 2
7,Suspendido 4
8,menor 7 b5
9,Novena
10,Séptima Dom
11,maj7
12,Quinta
13,Sexta
14,menor 6ª
15,menor 7ª
